unit capacity,Unit FOR
30.0,0.01
30.0,0.01
25.0,0.01
25.0,0.01
9.0,0.01
9.0,0.01
9.0,0.01
12.0,0.01
12.0,0.01
50.0,0.01
50.0,0.01
45.0,0.01
45.0,0.01
17.5,0.01
17.5,0.01
75.0,0.01
75.0,0.01
70.0,0.01
70.0,0.01
70.0,0.01
67.0,0.01
67.0,0.01
67.0,0.01
60.0,0.01
60.0,0.01
19.3,0.01
19.3,0.01
40.0,0.01
25.0,0.01
25.0,0.01
25.0,0.01
1.61,0.01
1.61,0.01
60.0,0.01
60.0,0.01
61.0,0.01
61.0,0.01
37.5,0.01
37.5,0.01
2.0,0.01
2.0,0.01
2.0,0.01
2.475,0.01
2.475,0.01
3.15,0.01
3.15,0.01
300.0,0.08
300.0,0.08
300.0,0.08
20.0,0.02
20.0,0.02
20.0,0.02
20.0,0.02
115.0,0.068
165.0,0.08
163.0,0.08
20.0,0.068
20.0,0.068
20.0,0.068
20.0,0.068
10.0,0.058
10.0,0.058
10.0,0.058
10.0,0.058
10.0,0.058
10.0,0.058
10.0,0.058
10.0,0.058
8.9,0.075
8.9,0.075
8.9,0.075
15.6,0.052
15.6,0.052
15.6,0.052
15.6,0.052
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
1.0,0.067
50.0,0.002
